key,value,timestamp,topic,partition,offset
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.5, ""volume"": 0.001, ""timestamp"": ""2024-12-06T17:52:46.621642Z"", ""timestamp_ms"": 1733503966621}",1733507567876,trades,0,39477
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.5, ""volume"": 0.01828026, ""timestamp"": ""2024-12-06T17:52:46.621642Z"", ""timestamp_ms"": 1733503966621}",1733507567876,trades,0,39478
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101117.6, ""volume"": 0.00032101, ""timestamp"": ""2024-12-06T17:52:46.722753Z"", ""timestamp_ms"": 1733503966722}",1733507567985,trades,0,39479
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101103.0, ""volume"": 0.01529109, ""timestamp"": ""2024-12-06T17:52:46.760408Z"", ""timestamp_ms"": 1733503966760}",1733507568027,trades,0,39480
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.5, ""volume"": 0.0001, ""timestamp"": ""2024-12-06T17:52:47.695677Z"", ""timestamp_ms"": 1733503967695}",1733507569039,trades,0,39481
b'BTC-EUR',"{""pair"": ""BTC/EUR"", ""price"": 95815.4, ""volume"": 0.02999404, ""timestamp"": ""2024-12-06T17:52:47.888753Z"", ""timestamp_ms"": 1733503967888}",1733507569248,trades,0,39482
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101080.7, ""volume"": 7.12e-05, ""timestamp"": ""2024-12-06T17:52:47.923669Z"", ""timestamp_ms"": 1733503967923}",1733507569287,trades,0,39483
b'BTC-USD',"{""pair"": ""BTC/USD"", ""price"": 101080.7, ""volume"": 0.0003288, ""timestamp"": ""2024-12-06T17:52:47.923669Z"", ""timestamp_ms"": 1733503967923}",1733507569288,trades,0,39484
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4032.17, ""volume"": 0.00266421, ""timestamp"": ""2024-12-06T17:52:48.636136Z"", ""timestamp_ms"": 1733503968636}",1733507570058,trades,0,39485
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4032.74, ""volume"": 0.00191972, ""timestamp"": ""2024-12-06T17:52:48.636136Z"", ""timestamp_ms"": 1733503968636}",1733507570058,trades,0,39486
b'ETH-USD',"{""pair"": ""ETH/USD"", ""price"": 4032.29, ""volume"": 0.00058274, ""timestamp"": ""2024-12-06T17:52:49.093309Z"", ""timestamp_ms"": 1733503969093}",1733507570553,trades,0,39487
